attribute_id,attribute_code,frontend_input,default_value,is_unique,is_required,scope,apply_to,is_configurable,is_searchable,is_visible_in_advanced_search,is_comparable,is_used_for_promo_rules,is_visible_on_front,used_in_product_listing,additional_fields,options,frontend_label
317,wdr_recording,boolean,0,0,0,store,,0,0,0,0,0,1,0,"{""used_for_sort_by"":""0""}","Yes, No","WDR Recording, WDR Recording"
318,video_backup,text,,0,0,store,,0,0,0,1,0,1,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Video Backup, Video back-up, Video back-up, Video Backup, Sauvegarde vidéo, Videosicherung, Sauvegarde vidéo"
319,waterproof_rear_cam,text,,0,0,store,,0,0,0,1,0,1,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Waterproof Rear Cam, Waterproof Rear Cam"
324,maps_preinstalled,text,,0,0,store,,0,0,0,1,0,1,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Maps Pre-installed, Kaarten voorgeïnstalleerd, Kaarten voorgeïnstalleerd, Maps Pre-installed, Cartes pré-installées, Vorinstallierte Karten, Cartes pré-installées"
339,upload_to_strava,text,,0,0,store,,0,0,0,1,0,1,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Strava Upload, Strava upload, Strava upload, Strava Upload, Upload vers Strava, Strava hochladen, Upload vers Strava"
345,sac_sensor_included,text,,0,0,global,,0,0,0,1,0,1,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"SAC Sensor Included, Snelheid- en cadanssensor inclusief, Snelheid- en cadanssensor inclusief, SAC Sensor Included, Capteur SAC inclus, Geschwindigkeits- und Trittfrequenzsensoren, Capteur SAC inclus"
351,headlight_reminding,boolean,0,0,0,store,,0,0,0,0,0,1,0,"{""used_for_sort_by"":""0""}","Yes, No","Head-light Reminding, Head-light Reminding, Scheinwerfer-Erinnerung"
352,event_recording,text,,0,0,store,,0,0,0,1,0,1,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Event Recording , Evenement opname, Evenement opname, Event Recording , Enregistrement d'événement, Event-Aufzeichnung, Enregistrement d'événement"
354,recording_resolution_text,text,,0,0,store,,0,0,0,1,0,1,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Recording Resolution, Opname Resolutie, Opname Resolutie, Recording resolution, Résolution d'affichage, Aufzeichnungsauflösung, Résolution d'affichage"
359,recording_resolution,text,,0,0,store,,0,0,0,0,0,1,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""0"",""used_for_sort_by"":""0""}",,"Recording Resolution"
360,usb,text,,0,0,store,,0,0,0,1,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,USB
361,magnetless_cadence_sensor,text,,0,0,global,,0,0,0,1,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Magnet-less Cadence Sensor Included, Magneetloze cadenssensor inclusief, Magneetloze cadenssensor inclusief, Magnet-less cadence sensor, Capteur de cadence sans aimant inclus, Magnetloser Trittfrequenzsensor enthalten, Capteur de cadence sans aimant inclus"
363,storage,text,,0,0,store,,0,0,0,0,0,1,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Memory, Geheugen, Geheugen, Mémoire, Speicher, Mémoire"
371,product_video_url001,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,product_video_url001
372,product_video_title001,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,product_video_title001
373,product_video_desc001,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,product_video_desc001
374,product_banner_title001,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,Title
375,product_banner_desc001,textarea,,0,0,store,,0,0,0,0,0,0,0,"{""is_wysiwyg_enabled"":""0"",""is_html_allowed_on_front"":""1""}",,Description
376,font_anim_delay001,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Text Animation Delay (ms)"
377,product_banner_btn001,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Button Text"
378,product_banner_btn_url001,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Call to Action Link"
379,img_anim_delay001,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Image Animation Delay (ms)"
380,product_banner_title_color001,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","dark, gray, light, main","Title Color"
381,product_banner_desc_color001,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","dark, gray, light, main","Description Color"
382,product_banner_btn_color001,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","dark, gray, light, main","Call to Action Button Color"
384,img_anim001,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","from-left, from-right","Image Animation"
385,font_anim001,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","from-left, from-right","Text Animation"
