category_id,is_active,position,level,parent_id,name,url_key,description,created_at,updated_at,children_count,include_in_menu
61,1,1,2,81,Handhelds,handhelds,,2018-11-22T15:12:08+00:00,"2021-10-04 09:57:45",0,1
62,1,2,2,81,Tablets,tablets,,2018-11-22T15:12:36+00:00,"2021-03-30 15:11:17",0,1
63,1,3,2,81,Legacy,legacy,,2018-11-22T15:14:49+00:00,"2021-10-04 10:03:20",5,1
64,1,3,3,63,"A200 Series",a200-series,,2018-11-22T15:15:54+00:00,"2019-02-26 10:58:57",0,1
65,1,4,3,63,MiCor,micor,,2018-11-22T15:16:31+00:00,"2018-12-12 21:30:00",0,1
66,1,2,3,63,"L130 Series",l130-series,,2018-11-22T15:17:52+00:00,"2019-02-26 10:57:41",0,1
67,1,5,3,63,"A500 Series",a500-series,,2018-11-22T15:18:57+00:00,"2021-05-10 11:09:34",0,1
68,1,1,3,63,"A300 Series",a300-series,,2018-11-22T15:19:34+00:00,"2019-03-06 13:33:45",0,1
69,1,2,3,60,"A500 Series",a500-series,,2018-11-22T15:20:31+00:00,"2021-10-01 16:47:59",0,1
70,1,1,3,60,"F700 Series",f700-series,,2018-11-22T15:21:14+00:00,"2021-05-07 15:43:01",0,1
71,1,4,3,60,"L100 Series",l110-series,,2018-11-22T15:21:56+00:00,"2019-02-26 10:43:54",0,1
72,1,3,3,60,"L130 Series",l130-series,,2018-11-22T15:22:43+00:00,"2019-02-26 10:43:07",0,1
73,1,5,3,60,"A200/A300 Series",a200-a300-series,,2018-11-22T15:23:33+00:00,"2019-02-26 10:49:04",0,1
74,1,6,3,60,"L70 Series",l70-series,,2018-11-22T15:24:00+00:00,"2019-02-26 10:49:36",0,1
76,1,5,2,80,"Latest Products",latest-products,,2018-12-03T17:23:54+00:00,"2024-03-05 14:43:41",0,1
77,0,6,2,80,MiDM™,midm-bak,,2018-12-05T12:13:25+00:00,"2021-12-08 11:11:55",0,1
78,1,4,2,81,"Latest Products",latest-products,,2018-12-05T17:46:28+00:00,"2021-03-30 15:13:12",0,1
79,0,1,5,82,"i Series",i-series,,2019-01-18T17:00:51+00:00,"2021-07-07 14:11:07",0,1
80,1,3,1,1,MioWORK™,mioworktm,,2019-01-23T07:33:27+00:00,"2019-03-06 13:30:06",16,1
81,1,4,1,1,MioCARE™,miocaretm,,2019-01-23T07:35:40+00:00,"2021-03-30 15:09:12",9,1
82,0,3,4,3,"Combo Device",combo-device,,2019-02-15T10:57:45+00:00,"2019-11-08 00:03:26",1,1
83,1,1,5,6,"8 Series",8-series,,2019-07-12T23:31:28+01:00,"2021-09-10 11:21:48",0,1
