attribute_id,code,label,type,required,scope,options
1526,landing_description,landing_description,textarea,0,store,
1584,s1_position,s1_position,select,0,store,"Text right, image left, Text left, image right, Middle (image up, text down)"
1585,s2_position,s2_position,select,0,store,"Text right, image left, Text left, image right, Middle (image up, text down)"
1586,s3_position,s3_position,select,0,store,"Text right, image left, Text left, image right, Middle (image up, text down)"
1587,s4_position,s4_position,select,0,store,"Text right, image left, Text left, image right, Middle (image up, text down)"
1588,s5_position,s5_position,select,0,store,"Text right, image left, Text left, image right, Middle (image up, text down)"
1589,s6_position,s6_position,select,0,store,"Text right, image left, Text left, image right, Middle (image up, text down)"
1590,s7_position,s7_position,select,0,store,"Text right, image left, Text left, image right, Middle (image up, text down)"
1591,s8_position,s8_position,select,0,store,"Text right, image left, Text left, image right, Middle (image up, text down)"
1592,s9_position,s9_position,select,0,store,"Text right, image left, Text left, image right, Middle (image up, text down)"
1593,s10_position,s10_position,select,0,store,"Text right, image left, Text left, image right, Middle (image up, text down)"
1594,s11_position,s11_position,select,0,store,"Text right, image left, Text left, image right, Middle (image up, text down)"
1595,s12_position,s12_position,select,0,store,"Text right, image left, Text left, image right, Middle (image up, text down)"
1596,s13_position,s13_position,select,0,store,"Text right, image left, Text left, image right, Middle (image up, text down)"
1597,s14_position,s14_position,select,0,store,"Text right, image left, Text left, image right, Middle (image up, text down)"
1598,s15_position,s15_position,select,0,store,"Text right, image left, Text left, image right, Middle (image up, text down)"
1599,s1_image_front,s1_image_front,image,0,store,
1600,s2_image_front,s2_image_front,image,0,store,
1601,s3_image_front,s3_image_front,image,0,store,
1602,s4_image_front,s4_image_front,image,0,store,
1603,s5_image_front,s5_image_front,image,0,store,
1604,s6_image_front,s6_image_front,image,0,store,
1605,s7_image_front,s7_image_front,image,0,store,
1606,s8_image_front,s8_image_front,image,0,store,
1607,s9_image_front,s9_image_front,image,0,store,
1608,s10_image_front,s10_image_front,image,0,store,
1609,s11_image_front,s11_image_front,image,0,store,
1610,s12_image_front,s12_image_front,image,0,store,
1611,s13_image_front,s13_image_front,image,0,store,
1612,s14_image_front,s14_image_front,image,0,store,
1613,s15_image_front,s15_image_front,image,0,store,
1769,policy_name1,policy_name1,text,0,store,
1770,policy_content1,policy_content1,textarea,0,store,
1771,policy_name2,policy_name2,text,0,store,
1772,policy_content2,policy_content2,textarea,0,store,
1773,policy_name3,policy_name3,text,0,store,
1774,policy_content3,policy_content3,textarea,0,store,
